epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.83,1.56075,2.72867,1.44955,0.57291,0.81011,0.6561,0.38252,1.35174,2.80002,1.33585,0.000551392,0.000551392,0.000551392
2,63.6728,1.38719,1.55085,1.28421,0.85199,0.87647,0.88182,0.5036,1.41327,1.4516,1.41637,0.00105724,0.00105724,0.00105724
3,92.4907,1.35159,1.19291,1.24738,0.83101,0.94014,0.84135,0.55769,1.13745,1.93579,1.22536,0.00151308,0.00151308,0.00151308
4,121.271,1.30668,0.97058,1.242,0.82949,0.94752,0.88165,0.56469,1.25741,2.0556,1.26115,0.00144195,0.00144195,0.00144195
5,149.873,1.29847,0.88532,1.22424,0.85367,0.97321,0.87956,0.58878,1.13676,2.01922,1.21919,0.00136694,0.00136694,0.00136694
6,178.398,1.25379,0.82502,1.21761,0.8599,0.96904,0.89192,0.57539,1.27754,1.62728,1.27344,0.00129193,0.00129193,0.00129193
7,207.111,1.26488,0.78757,1.20242,0.89129,0.97635,0.90926,0.62985,1.11977,1.67687,1.1955,0.00121691,0.00121691,0.00121691
8,235.425,1.23239,0.75774,1.19642,0.82948,0.95512,0.87907,0.60319,1.11853,1.6403,1.19329,0.0011419,0.0011419,0.0011419
9,263.931,1.21252,0.72996,1.17813,0.86054,0.97041,0.9196,0.63405,1.12961,1.47442,1.19621,0.00106688,0.00106688,0.00106688
10,292.542,1.1911,0.6923,1.16637,0.88474,0.97428,0.91883,0.65468,1.06369,1.76558,1.17041,0.000991865,0.000991865,0.000991865
11,320.987,1.18674,0.69051,1.17452,0.87889,0.98119,0.95163,0.68547,1.07272,1.27697,1.17698,0.00091685,0.00091685,0.00091685
12,349.45,1.18853,0.66232,1.17765,0.88345,0.97452,0.91152,0.65492,1.07261,1.65292,1.15818,0.000841835,0.000841835,0.000841835
13,379.33,1.12582,0.58118,1.23516,0.88164,0.97669,0.93024,0.67475,1.04116,1.4383,1.14967,0.00076682,0.00076682,0.00076682
14,407.858,1.116,0.57686,1.23541,0.87195,0.98583,0.94664,0.67309,1.04924,1.48996,1.14779,0.000691805,0.000691805,0.000691805
15,436.107,1.09159,0.53895,1.21405,0.87294,0.98408,0.92628,0.66097,1.08855,1.604,1.15869,0.00061679,0.00061679,0.00061679
16,464.567,1.08387,0.53865,1.20631,0.88171,0.97246,0.90734,0.66274,1.03221,1.64772,1.14058,0.000541775,0.000541775,0.000541775
17,492.945,1.0672,0.52691,1.19717,0.87513,0.9816,0.92254,0.67381,1.03604,1.65895,1.14084,0.00046676,0.00046676,0.00046676
18,521.185,1.06631,0.51078,1.19963,0.87354,0.98454,0.91333,0.66886,1.02217,1.5548,1.13072,0.000391745,0.000391745,0.000391745
19,549.388,1.05821,0.49094,1.18815,0.8839,0.9759,0.91749,0.67675,1.01977,1.48462,1.12868,0.00031673,0.00031673,0.00031673
20,577.682,1.03998,0.48344,1.18012,0.87129,0.98158,0.95065,0.69562,1.01507,1.49319,1.12462,0.000241715,0.000241715,0.000241715
21,605.984,1.03241,0.47145,1.16045,0.87282,0.98271,0.94774,0.70144,1.01719,1.55539,1.12061,0.0001667,0.0001667,0.0001667
22,634.221,1.01655,0.46907,1.16179,0.87251,0.97816,0.95453,0.70833,1.01288,1.5199,1.12098,9.1685e-05,9.1685e-05,9.1685e-05
